cluster_id	Amplitude
0	10.1
1	10.5
2	9.3
3	22.9
4	14.1
5	13.5
6	9.3
7	11.8
8	9.2
9	9.2
10	10.7
11	9.3
12	11.1
13	9.1
14	10.7
15	20.8
16	15.5
17	9.2
18	11.1
19	9.3
20	13.9
21	9.3
22	9.9
23	14.0
24	9.7
25	9.6
26	12.6
27	9.1
28	8.6
29	18.1
30	10.1
31	10.8
32	9.1
33	9.5
34	10.4
35	8.9
36	9.3
37	14.2
38	9.6
39	9.3
40	8.8
41	11.1
42	9.5
43	9.0
44	14.3
45	10.8
46	23.8
47	10.0
48	12.6
49	9.3
50	10.4
51	10.7
52	10.4
53	10.6
54	9.2
55	11.5
56	12.5
57	10.3
58	9.4
59	12.6
60	10.4
61	10.9
62	9.8
63	11.5
64	10.0
65	9.5
66	11.9
67	10.5
68	20.8
69	13.6
70	9.1
71	10.1
72	9.2
73	10.1
74	9.6
75	9.1
76	10.6
77	9.7
78	8.8
79	13.8
80	8.8
81	9.2
82	9.0
83	8.8
84	8.7
85	8.9
86	8.8
87	9.8
88	8.8
89	9.4
90	9.5
91	8.8
92	10.3
93	9.0
94	10.2
95	11.3
96	11.0
97	9.8
98	8.8
99	10.6
100	21.7
101	8.8
102	8.7
103	8.9
104	11.9
105	9.8
106	8.7
107	8.9
108	9.1
109	11.1
110	9.3
111	9.0
112	11.2
113	9.1
114	11.7
115	9.2
116	9.4
117	18.4
118	11.1
119	11.7
120	8.8
121	9.3
122	11.1
123	9.8
124	10.5
125	9.7
126	9.4
127	9.6
128	10.0
129	9.6
130	32.2
131	26.1
132	10.6
133	13.3
134	10.0
135	10.1
136	9.8
137	9.9
138	9.9
139	10.1
140	22.1
141	9.6
142	10.1
143	9.9
144	9.8
145	19.1
146	10.9
147	9.5
148	11.7
149	29.7
150	10.2
151	10.1
152	10.2
153	16.9
154	10.2
155	14.4
156	10.3
157	10.0
158	11.0
159	14.9
160	11.2
161	9.8
162	10.3
163	10.2
164	9.6
165	9.4
166	14.3
167	10.9
168	12.3
169	9.7
170	9.8
171	9.5
172	9.6
173	16.8
174	12.7
175	9.6
176	11.9
177	12.0
178	10.2
179	9.3
180	44.0
181	11.2
182	9.4
183	10.3
184	10.6
185	12.4
186	9.2
187	10.0
188	10.6
189	10.9
190	16.2
191	9.9
192	10.1
193	9.9
194	19.7
195	11.9
196	19.5
197	16.7
198	31.4
199	9.6
200	24.9
201	10.4
202	14.9
203	11.8
204	10.1
205	37.9
206	9.9
207	10.4
208	9.5
209	21.0
210	10.7
211	9.5
212	12.0
213	10.8
214	22.8
215	28.1
216	9.4
217	9.8
218	12.2
219	24.9
220	11.1
221	18.7
222	9.6
223	15.2
224	11.9
225	9.8
226	11.9
227	9.4
228	10.7
229	9.7
230	9.5
231	11.9
232	10.3
233	10.6
234	9.7
235	9.7
236	10.0
237	10.9
238	9.2
239	10.2
240	18.7
241	10.1
242	11.4
243	26.9
244	29.8
245	9.8
246	18.7
247	10.9
248	10.0
