cluster_id	Amplitude
0	9.6
1	13.8
2	9.2
3	9.4
4	10.8
5	10.0
6	9.3
7	10.2
8	9.0
9	14.5
10	10.0
11	23.3
12	9.9
13	15.0
14	9.4
15	13.8
16	9.1
17	8.3
18	9.1
19	10.4
20	9.1
21	9.6
22	9.2
23	11.1
24	8.9
25	11.4
26	21.0
27	10.1
28	10.4
29	13.4
30	9.0
31	11.2
32	9.0
33	20.5
34	10.3
35	8.9
36	10.3
37	18.7
38	9.3
39	9.1
40	8.8
41	9.8
42	11.7
43	8.9
44	10.2
45	8.9
46	11.1
47	8.8
48	9.6
49	8.9
50	8.9
51	9.5
52	8.8
53	9.4
54	9.1
55	12.0
56	8.9
57	11.5
58	9.5
59	9.8
60	9.0
61	10.1
62	9.8
63	9.0
64	9.5
65	11.7
66	10.0
67	9.2
68	9.3
69	9.1
70	12.2
71	9.6
72	12.8
73	10.3
74	10.9
75	9.4
76	16.2
77	9.3
78	14.3
79	8.6
80	9.0
81	8.7
82	18.4
83	20.6
84	12.0
85	9.5
86	8.9
87	9.2
88	12.0
89	9.2
90	11.0
91	8.8
92	9.5
93	8.9
94	12.0
95	8.8
96	9.4
97	9.0
98	8.7
99	9.0
100	9.6
101	8.6
102	10.6
103	9.0
104	8.5
105	9.3
106	8.6
107	8.8
108	9.8
109	8.7
110	11.6
111	8.9
112	8.6
113	9.3
114	8.9
115	9.9
116	9.8
117	9.4
118	9.2
119	10.8
120	8.7
121	8.7
122	8.9
123	9.3
124	8.7
125	8.8
126	9.0
127	9.0
128	8.7
129	8.8
130	9.4
131	8.8
132	8.8
133	9.0
134	9.4
135	9.9
136	8.9
137	8.7
138	9.0
139	10.3
140	9.7
141	9.5
142	8.8
143	9.2
144	10.0
145	8.8
146	20.0
147	9.3
148	9.0
149	9.4
150	9.5
151	11.3
152	8.9
153	9.0
154	9.2
155	9.5
156	20.1
157	9.0
158	9.5
159	8.8
160	9.9
161	10.2
162	8.9
163	9.0
164	10.2
165	9.0
166	9.0
167	12.4
168	23.8
169	11.9
170	10.1
171	10.4
172	9.3
173	13.4
174	9.9
175	9.0
176	10.7
177	9.2
178	13.6
179	11.4
180	21.6
181	9.5
182	8.7
183	10.4
184	8.9
185	8.9
186	24.0
187	8.7
188	14.5
189	11.4
190	11.7
191	8.9
192	9.4
193	9.3
194	12.4
195	10.5
196	9.7
197	11.7
198	31.8
199	9.3
200	9.9
201	11.4
202	13.2
203	19.5
204	9.1
205	9.4
206	11.4
207	17.7
208	8.6
209	9.4
210	9.6
211	9.2
212	18.8
213	9.0
214	10.7
215	11.7
216	11.2
217	9.2
218	32.1
219	9.8
220	9.5
221	9.0
222	33.0
223	10.4
224	11.7
225	9.1
226	15.1
227	11.8
228	16.3
229	9.3
230	9.2
231	8.9
232	12.9
233	10.0
234	20.9
235	36.6
236	9.1
237	10.3
238	19.7
239	8.8
240	10.1
241	10.9
242	9.2
243	32.3
244	11.0
245	8.9
246	9.6
247	23.5
248	9.8
249	10.3
250	10.2
251	18.9
252	12.5
253	10.6
254	8.9
255	10.0
256	12.0
257	9.7
258	8.9
259	9.3
260	13.6
261	9.3
262	10.6
263	8.9
264	8.8
265	10.1
266	9.4
267	9.0
268	9.6
269	11.1
270	27.0
271	8.9
272	12.8
273	9.8
274	9.2
275	11.1
276	9.1
277	9.1
278	10.3
279	14.7
280	9.5
281	9.5
282	9.3
283	9.5
284	9.4
285	8.9
286	14.4
287	8.9
288	9.3
289	9.7
290	8.9
291	9.5
292	9.4
293	8.9
294	17.1
295	22.2
296	8.9
297	12.9
298	8.8
299	9.3
300	23.7
301	9.1
302	8.9
303	11.0
304	9.9
305	9.9
306	22.6
307	9.4
308	10.7
309	10.7
310	9.2
311	10.2
312	10.3
313	9.1
314	9.0
315	9.0
316	10.5
317	9.8
318	9.4
319	10.2
320	14.4
321	8.9
322	9.2
323	8.7
324	13.6
325	8.8
326	9.0
327	9.1
328	8.8
329	9.2
330	8.9
331	9.1
332	8.8
333	9.0
334	8.8
335	10.3
336	9.0
337	9.0
338	8.8
339	9.0
340	8.9
341	9.2
342	8.7
343	10.0
344	8.9
345	8.7
346	9.3
347	9.2
348	8.6
349	9.3
350	8.8
351	14.2
352	10.5
353	8.9
354	10.8
355	10.6
356	10.5
357	9.0
358	9.9
359	14.4
360	9.6
361	8.7
362	8.7
363	10.4
364	9.8
365	14.9
366	8.4
367	22.1
368	9.4
369	12.7
