cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	good
13	good
14	mua
15	good
16	good
17	mua
18	good
19	mua
20	mua
21	good
22	mua
23	mua
24	mua
25	good
26	good
27	mua
28	mua
29	good
30	mua
31	mua
32	mua
33	good
34	mua
35	mua
36	mua
37	good
38	good
39	good
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	good
50	mua
51	mua
52	mua
53	mua
54	mua
55	good
56	mua
57	good
58	mua
59	good
60	mua
61	mua
62	good
63	good
64	good
65	mua
66	mua
67	mua
68	good
69	mua
70	mua
71	mua
72	good
73	mua
74	mua
75	mua
76	good
77	mua
78	good
79	mua
80	mua
81	mua
82	good
83	good
84	mua
85	good
86	mua
87	mua
88	good
89	mua
90	mua
91	good
92	mua
93	mua
94	good
95	mua
96	mua
97	mua
98	mua
99	mua
100	good
101	mua
102	good
103	mua
104	mua
105	good
106	mua
107	mua
108	good
109	mua
110	good
111	mua
112	mua
113	mua
114	good
115	good
116	mua
117	good
118	mua
119	mua
120	mua
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	good
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	good
138	mua
139	good
140	mua
141	good
142	mua
143	mua
144	mua
145	mua
146	mua
147	mua
148	good
149	mua
150	good
151	mua
152	mua
153	good
154	good
155	mua
156	good
157	good
158	mua
159	mua
160	good
161	good
162	mua
163	good
164	mua
165	mua
166	mua
167	good
168	good
169	good
170	mua
171	mua
172	mua
173	mua
174	good
175	mua
176	mua
177	mua
178	mua
179	mua
180	good
181	mua
182	good
183	mua
184	mua
185	mua
186	good
187	mua
188	good
189	mua
190	mua
191	mua
192	mua
193	mua
194	good
195	good
196	good
197	mua
198	good
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	good
206	mua
207	good
208	mua
209	mua
210	mua
211	good
212	good
213	mua
214	good
215	good
216	mua
217	mua
218	good
219	mua
220	mua
221	good
222	good
223	good
224	good
225	mua
226	good
227	mua
228	good
229	mua
230	good
231	good
232	good
233	good
234	good
235	good
236	mua
237	mua
238	mua
239	good
240	good
241	mua
242	mua
243	good
244	good
245	mua
246	mua
247	mua
248	mua
249	mua
250	mua
251	good
252	mua
253	mua
254	mua
255	mua
256	good
257	good
258	mua
259	mua
260	good
261	good
262	mua
263	good
264	mua
265	mua
266	mua
267	mua
268	mua
269	good
270	mua
271	mua
272	good
273	mua
274	mua
275	good
276	good
277	mua
278	mua
279	good
280	mua
281	mua
282	mua
283	mua
284	good
285	mua
286	good
287	mua
288	mua
289	mua
290	mua
291	mua
292	mua
293	mua
294	good
295	good
296	mua
297	mua
298	mua
299	mua
300	good
301	good
302	mua
303	mua
304	mua
305	good
306	mua
307	good
308	good
309	good
310	mua
311	mua
312	mua
313	mua
314	mua
315	mua
316	mua
317	good
318	mua
319	good
320	good
321	mua
322	mua
323	mua
324	good
325	mua
326	mua
327	mua
328	good
329	mua
330	mua
331	mua
332	mua
333	mua
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	good
355	good
356	good
357	mua
358	mua
359	mua
360	mua
361	mua
362	mua
363	mua
364	mua
365	good
366	mua
367	good
368	mua
369	good
370	good
371	good
372	mua
373	mua
374	mua
375	good
376	good
377	mua
378	mua
379	mua
380	mua
381	mua
382	mua
383	mua
384	mua
385	mua
386	mua
387	mua
388	mua
389	mua
390	mua
391	mua
392	mua
393	mua
394	mua
395	mua
396	good
397	mua
398	mua
399	mua
400	mua
401	mua
402	mua
403	good
404	mua
405	good
406	mua
407	mua
408	mua
409	mua
410	mua
411	mua
412	mua
413	mua
414	mua
415	good
416	mua
417	mua
418	mua
419	mua
420	mua
421	mua
422	mua
423	mua
424	mua
425	mua
426	mua
427	mua
428	mua
429	mua
430	good
431	mua
432	mua
433	mua
434	mua
435	mua
436	mua
437	mua
438	good
439	mua
440	mua
441	mua
442	mua
443	mua
444	good
445	mua
446	mua
447	mua
448	mua
449	mua
450	mua
451	mua
452	mua
453	mua
454	mua
455	mua
456	good
457	mua
458	mua
459	mua
460	mua
461	mua
462	mua
463	mua
464	mua
465	mua
466	mua
467	mua
468	mua
