cluster_id	Amplitude
0	21.7
1	10.5
2	12.9
3	9.9
4	13.2
5	11.8
6	9.5
7	9.4
8	9.2
9	10.8
10	9.6
11	9.7
12	9.0
13	9.5
14	14.9
15	13.5
16	11.1
17	9.3
18	10.7
19	9.5
20	9.7
21	13.3
22	8.7
23	9.1
24	15.0
25	10.4
26	11.3
27	10.1
28	9.7
29	11.4
30	9.3
31	16.2
32	8.4
33	9.5
34	9.4
35	10.7
36	9.1
37	10.1
38	10.9
39	11.5
40	9.2
41	9.9
42	9.7
43	10.3
44	11.0
45	10.7
46	11.0
47	9.3
48	10.5
49	12.0
50	11.2
51	12.2
52	9.6
53	12.3
54	10.9
55	9.6
56	9.3
57	9.6
58	10.8
59	11.4
60	10.3
61	8.7
62	10.5
63	10.6
64	9.0
65	12.5
66	10.5
67	9.5
68	10.2
69	9.0
70	13.5
71	9.4
72	8.8
73	9.1
74	8.8
75	8.9
76	9.0
77	9.9
78	8.9
79	9.7
80	10.1
81	9.2
82	10.4
83	10.7
84	8.8
85	10.9
86	8.9
87	9.2
88	10.7
89	20.0
90	9.1
91	11.6
92	8.6
93	9.8
94	8.9
95	10.8
96	9.0
97	8.8
98	9.3
99	12.2
100	9.3
101	11.1
102	9.4
103	10.4
104	24.8
105	9.1
106	10.3
107	10.4
108	9.3
109	10.1
110	10.1
111	13.8
112	12.9
113	9.7
114	20.0
115	9.6
116	9.9
117	9.6
118	12.1
119	24.0
120	10.2
121	15.0
122	10.0
123	9.6
124	17.7
125	12.0
126	9.5
127	9.6
128	9.2
129	14.1
130	25.2
131	9.8
132	15.9
133	10.0
134	10.0
135	10.3
136	10.5
137	28.2
138	16.4
139	9.8
140	12.0
141	10.5
142	9.5
143	9.9
144	10.2
145	15.9
146	14.4
147	9.3
148	10.5
149	10.5
150	9.6
151	10.0
152	9.2
153	10.0
154	10.7
155	15.4
156	9.8
157	9.5
158	10.9
159	10.1
160	9.4
161	11.8
162	13.4
163	11.3
164	10.9
165	9.7
166	8.6
167	10.8
168	16.3
169	16.2
170	9.8
171	10.9
172	20.0
173	12.5
174	19.6
175	19.3
176	24.5
177	10.0
178	9.5
179	28.6
180	9.8
181	10.2
182	10.7
183	20.3
184	9.9
185	12.6
186	10.5
187	9.7
188	9.4
189	26.5
